case_id,MRI_Shape,WT_Dice,TC_Dice,ET_Dice,WT_HD95,TC_HD95,ET_HD95,fg_volume,fg_mean_t1n,fg_mean_t1c,fg_mean_t2w,fg_mean_t2f,BG_Dice_wo,NC_Dice_wo,ED_Dice_wo,ET_Dice_wo,NC_Volume,ED_Volume,ET_Volume,BG_Volume,BG_Precision,NC_Precision,ED_Precision,ET_Precision,BG_Recall,NC_Recall,ED_Recall,ET_Recall,BG_F1,NC_F1,ED_F1,ET_F1,BG_TP,BG_FP,BG_FN,NC_TP,NC_FP,NC_FN,ED_TP,ED_FP,ED_FN,ET_TP,ET_FP,ET_FN,conf_BG_BG,conf_BG_NC,conf_BG_ED,conf_BG_ET,conf_NC_BG,conf_NC_NC,conf_NC_ED,conf_NC_ET,conf_ED_BG,conf_ED_NC,conf_ED_ED,conf_ED_ET,conf_ET_BG,conf_ET_NC,conf_ET_ED,conf_ET_ET,GT_Unique_Labels,recons_unique_labels,FP_Count,FP_Boundary_Ratio,FP_in_BG,FP_in_NC,FP_in_ED,FP_in_ET
BraTS2021_01368,"torch.Size([1, 4, 240, 240, 155])",0.9485907554626465,0.9855594038963318,0.9712138175964355,6.324555397033691,1.0,1.0,190650,160.39493,432.4661865234375,653.69214,453.21262,0.9988915920257568,0.9752548933029175,0.9395424723625183,0.9699190855026245,6344,167472,16834,8737350,0.9985252530543387,0.9833679833679834,0.9581660824518411,0.9754329198873509,0.9992707170938557,0.9692622950819673,0.9221959491735932,0.9670310086729238,0.9988978459916678,0.9762641898864809,0.9398369728927118,0.9712137935149002,8730978,12895,6372,6149,104,195,154442,6743,13030,16279,410,555,8730978,0,6371,1,0,6149,0,195,12816,0,154442,214,79,104,372,16279,4,4,7257,0.9953148684015498,6372,195,214,476
BraTS2021_00516,"torch.Size([1, 4, 240, 240, 155])",0.9628476500511169,0.9777303338050842,0.8968249559402466,2.2360680103302,1.7320507764816284,3.1622776985168457,172508,1020.78595,5789.36669921875,780.74744,1144.2539,0.999280571937561,0.8293577432632446,0.9108746647834778,0.8963216543197632,34099,74206,64203,8755492,0.9988056715709783,0.9768106734434562,0.9565307512362679,0.8518913009964543,0.999767231812901,0.7214287809026658,0.8706304072446972,0.9467626123389873,0.9992862203773608,0.8299175142958353,0.9115613624178119,0.8968249284428575,8753454,10467,2038,24600,584,9499,64606,2936,9600,60785,10568,3418,8753454,0,1537,501,42,24600,83,9374,8814,93,64606,693,1611,491,1316,60785,4,4,14088,0.9976575809192236,2038,9457,786,1807
BraTS2021_01288,"torch.Size([1, 4, 240, 240, 155])",0.9685843586921692,0.9661012291908264,0.9027920365333557,44.131587982177734,1.4142135381698608,1.0,123632,332.57547,613.064453125,1066.1123,476.7764,0.9995421171188354,0.9349851608276367,0.9260337948799133,0.9021709561347961,32906,71184,19542,8804368,0.9999178207471583,0.9689667524178579,0.8856447688564477,0.86437265917603,0.9991765450967065,0.9042727770011548,0.9715666441897055,0.9447855900112578,0.9995470454873022,0.9355026330268018,0.9266181652531587,0.9027920395090705,8797118,723,7250,29756,953,3150,69160,8930,2024,18463,2897,1079,8797118,1,7081,168,25,29756,1327,1798,611,482,69160,931,87,470,522,18463,4,4,12780,0.7332550860714137,7250,3125,1413,992
BraTS2021_00795,"torch.Size([1, 4, 240, 240, 155])",0.9187719821929932,0.8932061195373535,0.8730074763298035,2.982825994491577,4.0,3.1622776985168457,32152,345.39996,508.95361328125,491.30035,274.62997,0.9996914863586426,0.5719829797744751,0.7969395518302917,0.8722639083862305,1325,13629,17198,8895848,0.9998238053677858,0.710789766407119,0.6910220698521534,0.9417188236085874,0.9995682255362277,0.48226415094339625,0.9465111160026414,0.8136411210605884,0.9996959991167785,0.5746402877697842,0.7988358051831439,0.8730074554699442,8892007,1567,3841,639,260,686,12900,5768,729,13993,866,3205,8892007,0,3721,120,16,639,237,433,401,15,12900,313,1150,245,1810,13993,4,4,6894,0.8880185668684537,3841,670,328,2055
BraTS2021_01567,"torch.Size([1, 4, 240, 240, 155])",0.9429767727851868,0.9776816368103027,0.9365537166595459,9.219544410705566,1.0,1.0,97770,825.97797,1633.8763427734375,1033.2522,611.62463,0.9993661046028137,0.9817502498626709,0.92320716381073,0.9349418878555298,8614,80772,8384,8830230,0.9989534988711275,0.9898596863577408,0.9741251007004657,0.9435835351089589,0.9998349986353696,0.9745762711864406,0.8832516218491556,0.9296278625954199,0.9993940543750451,0.9821585258847616,0.9264653364413769,0.9365537130497477,8828773,9249,1457,8395,86,219,71342,1895,9430,7794,466,590,8828773,0,1455,2,0,8395,0,219,9184,1,71342,245,65,85,440,7794,4,4,2447,0.9910093992603556,1457,219,246,525
BraTS2021_01250,"torch.Size([1, 4, 240, 240, 155])",0.974075436592102,0.945080041885376,0.902801513671875,1.0,2.2360680103302,1.0,65993,388.83258,756.6425170898438,907.80334,394.51486,0.9998030066490173,0.89798504114151,0.9147093296051025,0.9022374749183655,9263,35628,21102,8862007,0.9997991457828118,0.9795451657985008,0.9365736256640544,0.8498055125684889,0.9998151660227756,0.8323437331318148,0.8956438756034579,0.9628471234954032,0.9998071558386193,0.8999649819073188,0.9156515875407107,0.9028015374019684,8860369,1780,1638,7710,161,1553,31910,2161,3718,20318,3591,784,8860369,3,1400,235,37,7710,327,1189,1542,9,31910,2167,201,149,434,20318,4,4,5913,0.9954337899526544,1638,1516,2176,583
BraTS2021_00626,"torch.Size([1, 4, 240, 240, 155])",0.9407777190208435,0.9653022289276123,0.9559972286224365,17.57839584350586,1.0,1.0,20190,1525.4508,4520.681640625,875.8103,1215.0297,0.9998552799224854,0.9402137398719788,0.8741442561149597,0.9554775357246399,763,11280,8147,8907810,0.9998368947270524,0.9134734239802225,0.8832799145299145,0.9902657195474875,0.9998982914992574,0.9685452162516383,0.8795212765957446,0.9240211120657911,0.9998675921706391,0.9402035623409669,0.8813965884861408,0.9559972061718204,8906904,1453,906,739,70,24,9921,1311,1359,7528,74,619,8906904,0,896,10,0,739,1,23,1318,0,9921,41,135,70,414,7528,4,4,1455,0.5436426116801124,906,24,41,484
BraTS2021_00650,"torch.Size([1, 4, 240, 240, 155])",0.9488126039505005,0.9747961163520813,0.9700949788093567,6.7082037925720215,1.0,1.0,85611,928.96716,9332.876953125,991.33185,1972.8567,0.9994734525680542,0.8581446409225464,0.9318042993545532,0.9688951969146729,594,67005,18012,8842389,0.9999221243922477,1.0,0.8878739222538556,0.9488268393672364,0.9990415486131633,0.7525252525252525,0.982061040220879,0.9923384410393071,0.9994816425487799,0.8587896253602305,0.9325954166017092,0.9700949796472185,8833914,688,8475,447,0,147,65803,8310,1202,17874,964,138,8833914,0,8263,212,0,447,0,147,597,0,65803,605,91,0,47,17874,4,4,9274,0.5914384300187713,8475,147,605,47
BraTS2021_01009,"torch.Size([1, 4, 240, 240, 155])",0.9600346088409424,0.9270772933959961,0.8653403520584106,2.0,2.4494898319244385,1.4142135381698608,53787,1267.6876,4527.3681640625,1387.4701,750.3232,0.9997562766075134,0.8741264343261719,0.8963357210159302,0.8648320436477661,7587,34086,12114,8874213,0.9996925215933443,0.9141667862781685,0.9454929348708787,0.7861478284326949,0.9998284918335857,0.8394622380387505,0.8539282990083905,0.9622750536569259,0.9997605020903813,0.8752233063075443,0.8973809560512401,0.8653403607749981,8872691,2729,1522,6369,598,1218,29107,1678,4979,11657,3171,457,8872691,37,1277,208,6,6369,115,1097,2664,449,29107,1866,59,112,286,11657,4,4,5447,0.9818248577180433,1522,1212,2315,398
BraTS2021_01221,"torch.Size([1, 4, 240, 240, 155])",0.9045854806900024,0.8722953796386719,0.6962119936943054,4.690415859222412,6.480740547180176,2.0,175675,294.52975,546.5886840820312,198.07445,348.71365,0.9981632232666016,0.7169025540351868,0.7512605786323547,0.6952264308929443,91299,56966,27410,8752325,0.9973107177217406,0.9821024402305191,0.7089571922856124,0.567065194942286,0.9990279154396118,0.5655702691157625,0.8021100305445353,0.9015322874863189,0.9981685780366353,0.7177847590981122,0.7526623125262525,0.6962119824756645,8743817,23578,8508,51636,941,39663,45693,18758,11273,24711,18866,2699,8743817,28,6936,1544,11809,51636,11373,16481,10403,29,45693,841,1366,884,449,24711,4,4,38565,0.9748217295472644,8508,27854,870,1333
